IonNumb,Energy(KeV),Depth(A),LateralY,DistanceZ(A),Se(eV/A),AtomHit,RecoilEnergy(eV),,Recoil,Atom,Energy(eV),x(A),y(A),z(A),Vac,Repl,,,Eloss ion (KeV),SOMME
1,"4,271",13562000,-816000,889300,0,C,"31,942",,1,6,"31,942",13560000,-816000,889300,1,0,,,"5,729","9,7085"
1,"2,951",22127000,-1558000,5341000,0,C,"78,849",,1,6,"78,849",22130000,-1558000,5341000,1,0,,,"1,32",
1,"1,889",25172000,-3106000,5909000,0,H,"15,771",,1,1,"15,771",25170000,-3106000,5909000,1,0,,,"1,062",
1,"1,732",26575000,-3797000,6324000,0,H,"14,455",,1,1,"14,455",26570000,-3797000,6324000,1,0,,,"0,157",
1,"0,7563",30437000,-7854000,7327000,0,C,"35,189",,1,6,"35,189",30440000,-7854000,7327000,1,0,,,"0,9757",
1,"0,4034",30675000,-9353000,5244000,0,H,"14,322",,1,1,"14,322",30670000,-9353000,5244000,1,0,,,"0,3529",
1,"0,2915",32355000,-10560000,4509000,0,H,"13,419",,1,1,"13,419",32360000,-10560000,4509000,1,0,,,"0,1119",
1,"0,1112",33506000,-11360000,4884000,0,H,"11,24",,1,1,"11,24",33510000,-11360000,4884000,1,0,,,,
1,"0,0961",33834000,-11370000,4738000,0,H,"10,207",,1,1,"10,207",33830000,-11370000,4738000,1,0,,,,
1,"0,06372",34150000,-11510000,4602000,0,H,"28,712",,1,1,"28,712",34150000,-11510000,4602000,1,0,,,,
2,"6,383",5633300,-495600,261700,0,F,"170,34",,1,9,"170,34",5633000,-495600,261700,1,0,,,,
,,,,,,,,,2,6,"137,19",5635000,-500900,273100,1,0,,,,
,,,,,,,,,3,6,"96,374",5641000,-491500,263000,1,0,,,,
,,,,,,,,,4,6,"35,145",5659000,-511400,242700,1,0,,,,
2,"2,796",19283000,5530000,12440000,0,H,"14,37",,1,1,"14,37",19280000,5530000,12440000,1,0,,,,
2,"0,59",26564000,12450000,23220000,0,F,"39,199",,1,9,"39,199",26560000,12450000,23220000,1,0,,,,
2,"0,5006",26712000,13060000,23190000,0,H,"78,729",,1,1,"78,729",26710000,13060000,23190000,1,0,,,,
2,"0,1681",24985000,14320000,22410000,0,H,"29,887",,1,1,"29,887",24980000,14320000,22410000,1,0,,,,
2,"0,09147",24532000,14530000,22120000,0,H,"15,493",,1,1,"15,493",24530000,14530000,22120000,1,0,,,,
3,"3,465",26951000,-1245000,-3531000,0,C,"33,298",,1,6,"33,298",26950000,-1245000,-3531000,1,0,,,,
,,,,,,,,,2,6,"28,091",26950000,-1252000,-3530000,1,0,,,,
3,"2,958",28808000,-1313000,-4486000,0,C,"31,875",,1,6,"31,875",28810000,-1313000,-4486000,1,0,,,,
3,"0,2605",26923000,907700,-13950000,0,C,"67,537",,1,6,"67,537",26920000,907700,-13950000,1,0,,,,
,,,,,,,,,2,6,"57,983",26930000,903700,-13950000,1,0,,,,
3,"0,1268",27598000,1580000,-13300000,0,H,"28,337",,1,1,"28,337",27600000,1580000,-13300000,1,0,,,,
