Recoil,Atom,Energy(eV),x(A),y(A),z(A),Vac,Repl,
1,6,31.942,13560000.0,-816000.0,889300.0,1,0,
1,6,78.849,22130000.0,-1558000.0,5341000.0,1,0,
1,1,15.771,25170000.0,-3106000.0,5909000.0,1,0,
1,1,14.455,26570000.0,-3797000.0,6324000.0,1,0,
1,6,35.189,30440000.0,-7854000.0,7327000.0,1,0,
1,1,14.322,30670000.0,-9353000.0,5244000.0,1,0,
1,1,13.419,32360000.0,-10560000.0,4509000.0,1,0,
1,1,11.24,33510000.0,-11360000.0,4884000.0,1,0,
1,1,10.207,33830000.0,-11370000.0,4738000.0,1,0,
1,1,28.712,34150000.0,-11510000.0,4602000.0,1,0,
1,9,170.34,5633000.0,-495600.0,261700.0,1,0,
2,6,137.19,5635000.0,-500900.0,273100.0,1,0,
3,6,96.374,5641000.0,-491500.0,263000.0,1,0,
4,6,35.145,5659000.0,-511400.0,242700.0,1,0,
1,1,14.37,19280000.0,5530000.0,12440000.0,1,0,
1,9,39.199,26560000.0,12450000.0,23220000.0,1,0,
1,1,78.729,26710000.0,13060000.0,23190000.0,1,0,
1,1,29.887,24980000.0,14320000.0,22410000.0,1,0,
1,1,15.493,24530000.0,14530000.0,22120000.0,1,0,
1,6,33.298,26950000.0,-1245000.0,-3531000.0,1,0,
2,6,28.091,26950000.0,-1252000.0,-3530000.0,1,0,
1,6,31.875,28810000.0,-1313000.0,-4486000.0,1,0,
1,6,67.537,26920000.0,907700.0,-13950000.0,1,0,
2,6,57.983,26930000.0,903700.0,-13950000.0,1,0,
1,1,28.337,27600000.0,1580000.0,-13300000.0,1,0,
1,9,317.45,3283000.0,0.8796,-2.074,1,0,
2,1,10.614,3298000.0,104400.0,-253000.0,1,0,
3,6,167.97,3335000.0,25040.0,-140000.0,1,0,
4,1,16.525,3408000.0,-64490.0,-193000.0,1,0,
5,1,12.361,3401000.0,-54250.0,-192200.0,1,0,
6,9,43.96,3380000.0,-21510.0,-194200.0,1,0,
7,1,22.869,3325000.0,19980.0,-112600.0,1,0,
8,1,22.254,3313000.0,13380.0,-78320.0,1,0,
1,6,47.784,5384000.0,-2165000.0,-1121000.0,1,0,
2,6,41.242,5382000.0,-2167000.0,-1123000.0,1,0,
1,6,34.43,12670000.0,-7564000.0,-2793000.0,1,0,
1,9,111.12,14750000.0,-8524000.0,-2821000.0,1,0,
1,6,28.928,16680000.0,-11740000.0,-1930000.0,1,0,
1,1,24.78,17550000.0,-15720000.0,-988300.0,1,0,
1,6,35.243,17510000.0,-21140000.0,2193000.0,1,0,
1,1,10.06,18330000.0,-21830000.0,2929000.0,1,0,
1,6,48.672,18920000.0,-22750000.0,3563000.0,1,0,
1,1,44.35,19490000.0,-22390000.0,3369000.0,1,0,
1,1,15.518,19920000.0,-21640000.0,3633000.0,1,0,
1,1,17.726,7649000.0,-57640.0,-48310.0,1,0,
1,9,29.657,11420000.0,-294800.0,-109100.0,1,0,
1,6,247.42,33820000.0,-384100.0,-6284000.0,1,0,
2,1,12.738,33830000.0,-442000.0,-6529000.0,1,0,
3,6,124.38,33880000.0,-452800.0,-6397000.0,1,0,
